,time_sec,time_hms,bus_lat,bus_lon,train_lat,train_lon,bus_trip_id_at_time,train_trip_id_at_time
51,35250,09:47:30,49.728094,20.2722305,50.02819986,19.9941515,28446351_7953,2024_2025_813469
52,35280,09:48:00,49.725742,20.268428,50.0265037,19.9989288,28446351_7953,2024_2025_813469
53,35310,09:48:30,49.724616499999996,20.264816500000002,50.02562338333333,20.0040537,28446351_7953,2024_2025_813469
54,35340,09:49:00,49.723491,20.261205,50.024743066666666,20.009178600000002,28446351_7953,2024_2025_813469
55,35370,09:49:30,49.72221425,20.25838775,50.02386275,20.0143035,28446351_7953,2024_2025_813469
56,35400,09:50:00,49.720937500000005,20.2555705,50.02298243333333,20.0194284,28446351_7953,2024_2025_813469
57,35430,09:50:30,49.71966075,20.25275325,50.022102116666666,20.0245533,28446351_7953,2024_2025_813469
58,35460,09:51:00,49.718384,20.249936,50.0212218,20.0296782,28446351_7953,2024_2025_813469
59,35490,09:51:30,49.7208145,20.2447115,50.01916267037037,20.030736533333332,28446351_7953,2024_2025_813469
60,35520,09:52:00,49.723245,20.239487,50.01710354074074,20.031794866666665,28446351_7953,2024_2025_813469
61,35550,09:52:30,49.7246075,20.235232500000002,50.01504441111111,20.0328532,28446351_7953,2024_2025_813469
62,35580,09:53:00,49.72597,20.230978,50.012985281481484,20.033911533333335,28446351_7953,2024_2025_813469
63,35610,09:53:30,49.7263865,20.222588000000002,50.010926151851855,20.034969866666668,28446351_7953,2024_2025_813469
64,35640,09:54:00,49.726803,20.214198,50.008807833333336,20.035528144444445,28446351_7953,2024_2025_813469
65,35670,09:54:30,49.72601,20.2129455,50.00665005555555,20.035753051851852,28446351_7953,2024_2025_813469
66,35700,09:55:00,49.725217,20.211693,50.00449227777778,20.03597795925926,28446351_7953,2024_2025_813469
67,35730,09:55:30,49.7257625,20.205282,50.002334499999996,20.036202866666667,28446351_7953,2024_2025_813469
68,35760,09:56:00,49.726308,20.198871,50.00017672222222,20.036427774074074,28446351_7953,2024_2025_813469
69,35790,09:56:30,49.733862,20.19716,49.99811631428571,20.0370663,28446351_7953,2024_2025_813469
